Target,DateStart,DateEnd,AdAccountId,AdAccountName,CampaignId,AdSetId,AdId,Placement,Clicks,CPC,CPM,CPP,CTR,Frequency,Impressions,Reach,Spend,Total Actions,Total Unique Actions,Unique Clicks,Unique CTR,Website Clicks
act_101,24/07/2015 00:00,24/07/2015 00:00,453,Demo,6058631,100,450,Mobile External ,57,0.428421,11.513437,21.980198,2.687412,1.909091,2121,1111,24.42,59,53,53,4.770477,0
act_101,25/07/2015 00:00,25/07/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,20,6.0995,34.421558,41.806032,0.564334,1.214531,3544,2918,121.99,7,7,18,0.616861,0
act_101,26/07/2015 00:00,26/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,0,0,5.66474,6.950355,0,1.22695,173,141,0.98,0,0,0,0,0
act_101,27/07/2015 00:00,27/07/2015 00:00,453,Demo,6058631,100,450,Mobile External ,36,0.364167,11.57105,17.958904,3.177405,1.552055,1133,730,13.11,36,35,35,4.794521,0
act_101,28/07/2015 00:00,28/07/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,16,3.5775,31.261606,32.121212,0.873839,1.027497,1831,1782,57.24,7,6,14,0.785634,1
act_101,29/07/2015 00:00,29/07/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,29,11.087241,35.579285,37.162506,0.320903,1.044498,9037,8652,321.53,22,22,28,0.323625,0
act_101,30/07/2015 00:00,30/07/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,56,10.714286,35.925992,37.917088,0.335309,1.055422,16701,15824,600,51,50,54,0.341254,0
act_101,31/07/2015 00:00,31/07/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,52,11.538462,35.114414,38.2263,0.304325,1.088621,17087,15696,600,47,43,49,0.312181,0
act_101,1/8/2015 0:00,1/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,46,13.043478,35.509262,38.540596,0.272238,1.085367,16897,15568,600,43,42,45,0.289054,0
act_101,2/8/2015 0:00,2/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,25,11.0884,31.77192,32.203764,0.286533,1.013592,8725,8608,277.21,22,22,25,0.290428,1
act_101,3/8/2015 0:00,3/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,61,5.09,20.199727,21.419012,0.396851,1.060361,15371,14496,310.49,48,47,58,0.40011,0
act_101,4/8/2015 0:00,4/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,70,5.428571,22.951018,26.098901,0.422782,1.137157,16557,14560,380,61,61,68,0.467033,1
act_101,5/8/2015 0:00,5/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,54,7.037037,23.297161,27.050114,0.331065,1.161091,16311,14048,380,45,44,53,0.377278,0
act_101,6/8/2015 0:00,6/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,68,5.588235,22.989897,26.098901,0.411398,1.135234,16529,14560,380,60,56,66,0.453297,0
act_101,7/8/2015 0:00,7/8/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,15,6.246,22.312455,22.784533,0.357228,1.021158,4199,4112,93.69,13,13,15,0.364786,0
act_101,8/8/2015 0:00,8/8/2015 0:00,453,Demo,6058631,100,450,Instant Article,0,0,6.615385,7.288136,0,1.101695,65,59,0.43,0,0,0,0,1
act_101,9/8/2015 0:00,9/8/2015 0:00,453,Demo,6058631,100,450,Mobile External ,20,0.2475,9.649123,14.909639,3.898635,1.545181,513,332,4.95,20,19,19,5.722892,0
act_101,10/8/2015 0:00,10/8/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,13,3.368462,32.174871,32.630402,0.95518,1.014158,1361,1342,43.79,6,6,13,0.968703,0
act_101,11/8/2015 0:00,11/8/2015 0:00,453,Demo,6058631,100,450,Instant Article,1,2.06,7.1777,8.803419,0.348432,1.226496,287,234,2.06,1,1,1,0.42735,0
act_101,12/8/2015 0:00,12/8/2015 0:00,453,Demo,6058631,100,450,Mobile External ,38,0.215526,7.576318,13.492586,3.515264,1.78089,1081,607,8.19,36,32,33,5.436573,0
act_101,13/08/2015 00:00,13/08/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,33,3.975758,33.641026,43.501326,0.846154,1.293103,3900,3016,131.2,18,14,30,0.994695,1
act_101,14/08/2015 00:00,14/08/2015 00:00,453,Demo,6058631,100,450,Instant Article,2,0.745,6.28692,7.602041,0.843882,1.209184,237,196,1.49,2,2,2,1.020408,0
act_101,15/08/2015 00:00,15/08/2015 00:00,453,Demo,6058631,100,450,Mobile External ,23,0.176087,6.398104,9.95086,3.633491,1.555283,633,407,4.05,23,21,21,5.159705,0
act_101,16/08/2015 00:00,16/08/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,35,3.850857,33.361386,42.42367,0.866337,1.27164,4040,3177,134.78,24,21,32,1.00724,0
act_101,17/08/2015 00:00,17/08/2015 00:00,453,Demo,6058631,100,450,Instant Article,3,0.603333,6.830189,8.743961,1.132075,1.280193,265,207,1.81,3,3,3,1.449275,0
act_101,18/08/2015 00:00,18/08/2015 00:00,453,Demo,6058631,100,450,Mobile External ,19,0.435789,8.836713,14.972875,2.027748,1.694394,937,553,8.28,19,18,18,3.254973,1
act_101,19/08/2015 00:00,19/08/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,30,4.400333,34.111111,43.45293,0.775194,1.273864,3870,3038,132.01,18,17,29,0.954575,0
act_101,20/08/2015 00:00,20/08/2015 00:00,453,Demo,6058631,100,450,Instant Article,0,0,6.455696,7.669173,0,1.18797,158,133,1.02,0,0,0,0,0
act_101,21/08/2015 00:00,21/08/2015 00:00,453,Demo,6058631,100,450,Mobile External ,24,0.29,9.900427,15.466667,3.41394,1.562222,703,450,6.96,23,21,22,4.888889,0
act_101,22/08/2015 00:00,22/08/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,12,5.180833,33.21047,33.991252,0.641026,1.02351,1872,1829,62.17,7,7,12,0.656096,0
act_101,23/08/2015 00:00,23/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,14,10.826429,18.385492,18.716967,0.16982,1.018029,8244,8098,151.57,12,12,13,0.160533,1
act_101,24/08/2015 00:00,24/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,65,5.846154,21.359114,23.673063,0.365353,1.108335,17791,16052,380,56,53,58,0.361326,0
act_101,25/08/2015 00:00,25/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,54,7.037037,21.710564,24.228513,0.308519,1.115978,17503,15684,380,47,46,51,0.325172,1
act_101,26/08/2015 00:00,26/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,45,8.444444,24.817137,27.544216,0.293887,1.109887,15312,13796,380,37,34,41,0.297188,0
act_101,27/08/2015 00:00,27/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,41,9.268293,26.696642,30.101394,0.288043,1.127535,14234,12624,380,35,32,38,0.301014,0
act_101,28/08/2015 00:00,28/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,54,7.037037,23.112949,26.889329,0.328447,1.163388,16441,14132,380,42,39,50,0.353807,0
act_101,29/08/2015 00:00,29/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,95,4,23.735166,28.056704,0.593379,1.182073,16010,13544,380,76,72,87,0.642351,1
act_101,30/08/2015 00:00,30/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,76,5,23.674537,26.633025,0.473491,1.124965,16051,14268,380,57,57,73,0.511634,0
act_101,31/08/2015 00:00,31/08/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,88,4.318182,21.317177,23.433646,0.493661,1.099285,17826,16216,380,75,70,83,0.51184,0
act_101,1/9/2015 0:00,1/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,14,4.965,24.887218,25.175661,0.501253,1.01159,2793,2761,69.51,12,12,14,0.507063,0
act_101,2/9/2015 0:00,2/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,18,13.048333,51.962389,53.623288,0.39823,1.031963,4520,4380,234.87,14,14,17,0.388128,0
act_101,3/9/2015 0:00,3/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,23,20,58.353419,59.77131,0.291767,1.024298,7883,7696,460,24,23,22,0.285863,1
act_101,4/9/2015 0:00,4/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,28,16.428571,60.726073,61.911171,0.369637,1.019515,7575,7430,460,22,21,26,0.349933,0
act_101,5/9/2015 0:00,5/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,32,14.375,54.483004,56.358736,0.379012,1.034428,8443,8162,460,26,25,29,0.355305,0
act_101,6/9/2015 0:00,6/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,36,12.777778,51.471411,54.801048,0.40282,1.064689,8937,8394,460,35,33,33,0.393138,0
act_101,7/9/2015 0:00,7/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,35,17.142857,54.044316,58.015858,0.315259,1.073487,11102,10342,600,32,30,33,0.319087,0
act_101,8/9/2015 0:00,8/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,40,15,49.788399,53.078556,0.331923,1.066083,12051,11304,600,37,37,40,0.353857,1
act_101,9/9/2015 0:00,9/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,33,18.179394,48.60013,52.495625,0.267336,1.080154,12344,11428,599.92,28,28,31,0.271264,0
act_101,10/9/2015 0:00,10/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,39,15.384615,48.16569,50.184008,0.313077,1.041904,12457,11956,600,34,33,37,0.309468,0
act_101,11/9/2015 0:00,11/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,52,11.538462,45.585777,48.748781,0.395077,1.069386,13162,12308,600,46,44,50,0.40624,0
act_101,12/9/2015 0:00,12/9/2015 0:00,453,Demo,6058631,100,450,Desktop Feed,70,8.571429,47.036689,50.916497,0.548761,1.082485,12756,11784,600,61,58,68,0.577054,0
act_101,13/09/2015 00:00,13/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,48,12.5,47.637952,50.9684,0.381104,1.069912,12595,11772,600,46,44,46,0.390758,1
act_101,14/09/2015 00:00,14/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,55,10.909091,47.675805,49.358342,0.437028,1.035291,12585,12156,600,49,47,51,0.419546,0
act_101,15/09/2015 00:00,15/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,53,11.320755,44.599718,45.620438,0.393964,1.022886,13453,13152,600,47,45,50,0.38017,1
act_101,16/09/2015 00:00,16/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,46,13.043478,45.334341,47.30369,0.347563,1.043441,13235,12684,600,38,38,45,0.354778,0
act_101,17/09/2015 00:00,17/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,42,14.285714,41.952175,44.391832,0.293665,1.058153,14302,13516,600,40,39,40,0.295946,0
act_101,21/09/2015 00:00,21/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,50,12,42.052145,44.656148,0.350435,1.061923,14268,13436,600,41,40,49,0.364692,0
act_101,22/09/2015 00:00,22/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,60,10,37.483601,39.328789,0.374836,1.049227,16007,15256,600,51,50,59,0.386733,1
act_101,23/09/2015 00:00,23/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,55,10.909091,35.752592,37.453184,0.327732,1.047566,16782,16020,600,52,51,54,0.337079,0
act_101,24/09/2015 00:00,24/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,53,11.320755,33.272334,34.387895,0.293906,1.033528,18033,17448,600,44,42,48,0.275103,0
act_101,25/09/2015 00:00,25/09/2015 00:00,453,Demo,6058631,100,450,Desktop Feed,20,13.9235,33.052819,33.174887,0.237389,1.003693,8425,8394,278.47,18,18,20,0.238265,0
act_101,26/09/2015 00:00,26/09/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,21.884058,22.425743,0,1.024752,207,202,4.53,0,0,0,0,0
act_101,27/09/2015 00:00,27/09/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,29.814815,30.377358,0,1.018868,54,53,1.61,0,0,0,0,1
act_101,28/09/2015 00:00,28/09/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,5,5,0,1,2,2,0.01,0,0,0,0,0
act_101,29/09/2015 00:00,29/09/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,23.030303,23.030303,0,1,33,33,0.76,0,0,0,0,0
act_101,30/09/2015 00:00,30/09/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,15,4.809333,31.202422,32.205357,0.648789,1.032143,2312,2240,72.14,11,11,15,0.669643,0
act_101,1/10/2015 0:00,1/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,25,5.5364,34.732748,37.796286,0.627353,1.088203,3985,3662,138.41,20,18,23,0.628072,0
act_101,2/10/2015 0:00,2/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,38,3.977105,33.055556,34.830606,0.831146,1.053699,4572,4339,151.13,27,23,34,0.783591,1
act_101,3/10/2015 0:00,3/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,42,3.382381,27.970073,30.367678,0.826934,1.08572,5079,4678,142.06,24,22,37,0.790936,0
act_101,4/10/2015 0:00,4/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,31,4.654194,30.177787,32.37155,0.6484,1.072695,4781,4457,144.28,22,20,30,0.673098,0
act_101,5/10/2015 0:00,5/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,41,3.916098,31.787765,34.595992,0.81172,1.088343,5051,4641,160.56,26,23,37,0.797242,0
act_101,6/10/2015 0:00,6/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,37,4.081892,29.877349,32.059011,0.731949,1.073021,5055,4711,151.03,25,24,35,0.742942,0
act_101,7/10/2015 0:00,7/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,41,3.532439,27.136968,29.14671,0.768222,1.074059,5337,4969,144.83,24,24,40,0.804991,1
act_101,8/10/2015 0:00,8/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,31,4.770323,29.977701,31.808991,0.628421,1.061088,4933,4649,147.88,19,18,28,0.60228,0
act_101,9/10/2015 0:00,9/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,35,4.163714,27.647505,29.692339,0.664011,1.073961,5271,4908,145.73,22,22,33,0.672372,1
act_101,10/10/2015 0:00,10/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,41,3.614878,28.672857,30.352242,0.79319,1.058571,5169,4883,148.21,23,22,37,0.757731,0
act_101,11/10/2015 0:00,11/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,44,3.562273,28.555292,30.553606,0.801603,1.069981,5489,5130,156.74,23,23,43,0.838207,0
act_101,12/10/2015 0:00,12/10/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,40,3.8895,31.404925,33.088048,0.807428,1.053594,4954,4702,155.58,27,25,37,0.786899,0
act_101,13/10/2015 00:00,13/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,51,2.966667,28.791627,30.584192,0.970504,1.06226,5255,4947,151.3,34,30,47,0.950071,1
act_101,14/10/2015 00:00,14/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,36,3.726667,26.821271,28.636073,0.719712,1.067663,5002,4685,134.16,21,20,33,0.704376,0
act_101,15/10/2015 00:00,15/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,36,3.626944,25.677483,27.321615,0.707965,1.06403,5085,4779,130.57,23,21,33,0.690521,0
act_101,16/10/2015 00:00,16/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,18,5.402778,23.853324,25.103252,0.441501,1.052401,4077,3874,97.25,11,11,18,0.464636,0
act_101,17/10/2015 00:00,17/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,8,5.2125,24.895522,25.196375,0.477612,1.012085,1675,1655,41.7,7,6,7,0.422961,0
act_101,18/10/2015 00:00,18/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,27.857143,27.857143,0,1,252,252,7.02,0,0,0,0,1
act_101,19/10/2015 00:00,19/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,18.211382,18.983051,0,1.042373,123,118,2.24,0,0,0,0,0
act_101,20/10/2015 00:00,20/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,16.756757,16.986301,0,1.013699,74,73,1.24,0,0,0,0,0
act_101,21/10/2015 00:00,21/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,26.235294,26.547619,0,1.011905,85,84,2.23,0,0,0,0,0
act_101,22/10/2015 00:00,22/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,1,12.5,19.171779,19.349845,0.153374,1.009288,652,646,12.5,1,1,1,0.154799,0
act_101,23/10/2015 00:00,23/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,16.727273,17.358491,0,1.037736,55,53,0.92,0,0,0,0,1
act_101,24/10/2015 00:00,24/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,0,0,12.432432,12.432432,0,1,37,37,0.46,0,0,0,0,0
act_101,25/10/2015 00:00,25/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,1,0.52,13,13.684211,2.5,1.052632,40,38,0.52,0,0,1,2.631579,0
act_101,26/10/2015 00:00,26/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,38,4.161316,27.539185,28.69873,0.66179,1.042105,5742,5510,158.13,22,22,36,0.653358,0
act_101,27/10/2015 00:00,27/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,51,3.706667,26.840835,27.231345,0.724123,1.014549,7043,6942,189.04,35,34,49,0.705848,0
act_101,28/10/2015 00:00,28/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,74,3.273784,25.063108,25.971269,0.76557,1.036235,9666,9328,242.26,52,49,72,0.77187,1
act_101,29/10/2015 00:00,29/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,108,4.025556,25.746772,27.460839,0.639583,1.066574,16886,15832,434.76,79,74,104,0.656897,0
act_101,30/10/2015 00:00,30/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,113,4.054159,26.919732,29.480051,0.664003,1.095109,17018,15540,458.12,82,78,107,0.688546,1
act_101,31/10/2015 00:00,31/10/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,105,4.063619,25.322255,26.848729,0.623145,1.060282,16850,15892,426.68,61,57,98,0.616662,0
act_101,1/11/2015 0:00,1/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,122,3.994918,24.904446,27.288914,0.623403,1.095745,19570,17860,487.38,84,79,116,0.649496,0
act_101,2/11/2015 0:00,2/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,130,3.793692,23.916396,26.149523,0.630425,1.093372,20621,18860,493.18,77,75,125,0.662778,0
act_101,3/11/2015 0:00,3/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,131,3.506794,22.716214,25.070399,0.647777,1.103635,20223,18324,459.39,80,74,123,0.671251,1
act_101,4/11/2015 0:00,4/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,55,3.459091,20.849315,21.230889,0.60274,1.018302,9125,8961,190.25,39,39,54,0.602611,0
act_101,5/11/2015 0:00,5/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,0,0,33.909091,34.220183,0,1.009174,110,109,3.73,0,0,0,0,0
act_101,6/11/2015 0:00,6/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,6,2.998333,38.688172,40.066815,1.290323,1.035635,465,449,17.99,7,5,6,1.336303,0
act_101,7/11/2015 0:00,7/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,10,5.274,30.188895,31.732852,0.57241,1.051143,1747,1662,52.74,6,6,10,0.601685,0
act_101,8/11/2015 0:00,8/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,27,3.914074,27.34282,29.080903,0.698577,1.063566,3865,3634,105.68,17,17,26,0.715465,1
act_101,9/11/2015 0:00,9/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,31,5.018065,27.129404,30.170675,0.540635,1.112102,5734,5156,155.56,15,15,29,0.562452,0
act_101,10/11/2015 0:00,10/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,21,7.257619,29.096984,32.032367,0.400916,1.100883,5238,4758,152.41,14,14,21,0.441362,0
act_101,11/11/2015 0:00,11/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,37,3.884324,27.885138,30.801543,0.717889,1.104586,5154,4666,143.72,21,20,34,0.728676,0
act_101,12/11/2015 0:00,12/11/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,9,6.951111,25.936982,26.274675,0.373134,1.01302,2412,2381,62.56,6,5,9,0.377992,0
act_101,13/11/2015 00:00,13/11/2015 00:00,453,Demo,6058631,100,450,Right-hand,1,0.28,46.666667,56,16.666667,1.2,6,5,0.28,1,1,1,20,1
act_101,14/11/2015 00:00,14/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,25,5.7692,40.355344,41.091168,0.699496,1.018234,3574,3510,144.23,20,20,25,0.712251,0
act_101,15/11/2015 00:00,15/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,59,5.082712,43.778102,45.588325,0.861314,1.04135,6850,6578,299.88,43,39,53,0.805716,0
act_101,16/11/2015 00:00,16/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,56,5.229821,40.880793,42.593077,0.781686,1.041885,7164,6876,292.87,43,41,53,0.770797,0
act_101,17/11/2015 00:00,17/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,74,4.502568,38.022367,40.114375,0.84446,1.05502,8763,8306,333.19,52,47,65,0.782567,0
act_101,18/11/2015 00:00,18/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,66,4.562273,35.859235,38.436303,0.785995,1.071866,8397,7834,301.11,44,42,57,0.727598,1
act_101,19/11/2015 00:00,19/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,51,5.496275,37.043743,40.009991,0.673979,1.080074,7567,7006,280.31,39,36,48,0.685127,0
act_101,20/11/2015 00:00,20/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,67,4.557761,30.482132,31.929109,0.668796,1.04747,10018,9564,305.37,46,46,65,0.679632,1
act_101,21/11/2015 00:00,21/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,67,4.554925,30.281802,31.929274,0.664814,1.054405,10078,9558,305.18,46,43,65,0.680059,0
act_101,22/11/2015 00:00,22/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,84,3.447619,34.472087,36.723307,0.999881,1.065306,8401,7886,289.6,55,53,76,0.963733,0
act_101,23/11/2015 00:00,23/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,75,4.071067,36.996244,38.386975,0.90876,1.037591,8253,7954,305.33,50,49,71,0.892633,0
act_101,24/11/2015 00:00,24/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,91,3.44011,35.28119,37.689622,1.025583,1.068264,8873,8306,313.05,53,51,81,0.975199,1
act_101,25/11/2015 00:00,25/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,79,3.822278,34.054359,36.565754,0.890944,1.073747,8867,8258,301.96,57,53,75,0.90821,0
act_101,26/11/2015 00:00,26/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,56,5.146429,36.297229,38.457433,0.70529,1.059514,7940,7494,288.2,32,32,53,0.707232,0
act_101,27/11/2015 00:00,27/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,57,5.115789,35.552304,37.57732,0.694952,1.056959,8202,7760,291.6,32,30,54,0.695876,0
act_101,28/11/2015 00:00,28/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,72,4.048611,28.123493,29.684318,0.694645,1.055499,10365,9820,291.5,34,34,69,0.702648,0
act_101,29/11/2015 00:00,29/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,74,3.96027,30.702986,32.432492,0.775275,1.05633,9545,9036,293.06,47,46,71,0.785746,1
act_101,30/11/2015 00:00,30/11/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,96,3.208646,28.148588,29.606882,0.877273,1.051807,10943,10404,308.03,61,56,86,0.826605,0
act_101,1/12/2015 0:00,1/12/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,80,4.070625,31.210466,32.781357,0.766724,1.050332,10434,9934,325.65,43,41,76,0.765049,0
act_101,2/12/2015 0:00,2/12/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,84,3.599286,29.359099,31.363071,0.815692,1.068257,10298,9640,302.34,55,54,78,0.809129,0
act_101,3/12/2015 0:00,3/12/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,36,3.9,27.851617,28.31216,0.714144,1.016536,5041,4959,140.4,19,19,34,0.685622,0
act_101,7/12/2015 0:00,7/12/2015 0:00,453,Demo,6058631,100,450,Instant Article,10,0.714,5.622047,7.062315,0.787402,1.256182,1270,1011,7.14,9,9,10,0.98912,1
act_101,8/12/2015 0:00,8/12/2015 0:00,453,Demo,6058631,100,450,Mobile External ,4,0.2225,2.379679,3.396947,1.069519,1.427481,374,262,0.89,4,4,4,1.526718,0
act_101,9/12/2015 0:00,9/12/2015 0:00,453,Demo,6058631,100,450,Mobile Feed,15,7.070667,41.140419,43.610197,0.581846,1.060033,2578,2432,106.06,13,12,15,0.616776,0
